reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2205	0.8506944444444444
motion	two_motion_two_hop_jerund	1	2592	1714	0.6612654320987654
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	694	0.4518229166666667
orientation	above_below_one_hop	1	1536	1536	1.0
orientation	cardinals_one_hop	0	1344	451	0.33556547619047616
orientation	cardinals_one_hop	1	3072	2889	0.9404296875
orientation	front_back_one_hop	0	1536	0	0.0
orientation	front_back_one_hop	1	1536	1536	1.0
orientation	left_right_one_hop	0	1152	722	0.6267361111111112
orientation	left_right_one_hop	1	1152	1076	0.9340277777777778
containment	two_hop_compare_fit_in_1	0	432	423	0.9791666666666666
containment	two_hop_compare_fit_in_1	1	432	432	1.0
containment	two_hop_compare_fit_in_2	0	360	0	0.0
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	72	1.0
containment	two_hop_compare_fit_in_3	1	72	72	1.0
containment	two_hop_compare_fit_in_4	2	648	0	0.0
containment	two_hop_compare_in_1	2	432	0	0.0
containment	two_hop_fit_in	0	720	720	1.0
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	708	0.9833333333333333
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	144	1.0
containment	two_hop_not_fit_in	1	288	200	0.6944444444444444
containment	two_hop_not_in	0	1440	0	0.0
containment	two_hop_not_in	2	1440	0	0.0
