reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	1944	0.75
motion	two_motion_two_hop_jerund	1	2592	1944	0.75
motion	two_motion_two_hop_jerund	2	2592	1152	0.4444444444444444
orientation	above_below_one_hop	0	1536	576	0.375
orientation	above_below_one_hop	1	1536	576	0.375
orientation	cardinals_one_hop	0	1344	352	0.2619047619047619
orientation	cardinals_one_hop	1	3072	1632	0.53125
orientation	front_back_one_hop	0	1536	1536	1.0
orientation	front_back_one_hop	1	1536	1536	1.0
orientation	left_right_one_hop	0	1152	1152	1.0
orientation	left_right_one_hop	1	1152	1152	1.0
containment	two_hop_compare_fit_in_1	0	432	432	1.0
containment	two_hop_compare_fit_in_1	1	432	432	1.0
containment	two_hop_compare_fit_in_2	0	360	180	0.5
containment	two_hop_compare_fit_in_2	1	360	180	0.5
containment	two_hop_compare_fit_in_3	0	72	0	0.0
containment	two_hop_compare_fit_in_3	1	72	0	0.0
containment	two_hop_compare_fit_in_4	2	648	324	0.5
containment	two_hop_compare_in_1	2	432	4	0.009259259259259259
containment	two_hop_fit_in	0	720	716	0.9944444444444445
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	720	1.0
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	72	0.5
containment	two_hop_not_fit_in	1	288	144	0.5
containment	two_hop_not_in	0	1440	1440	1.0
containment	two_hop_not_in	2	1440	1440	1.0
